CaseID,Dice,Sensitivity,Specificity
BraTS2021_01089,0.9443352736889948,0.9338099602810306,0.9991803157108047
BraTS2021_01090,0.9457686509390717,0.9230157467788844,0.999836444197733
BraTS2021_01091,0.018386108273721894,0.009278350515450253,0.999999999999999
BraTS2021_01092,0.9706329838765736,0.996391051447954,0.999055649494624
BraTS2021_01093,0.9764115158606365,0.9587578753329444,0.9999082055566074
BraTS2021_01094,0.975704838148237,0.9782485527773553,0.9996270815554685
BraTS2021_01095,0.9773040124132124,0.9822057968038392,0.999347505037863
BraTS2021_01096,0.9666300312704894,0.9685183796204089,0.9994089742309338
BraTS2021_01097,0.9801639978456523,0.977309856598146,0.9998741803669002
BraTS2021_01098,0.9095337870207905,0.8517513513512593,0.9997781676192622
BraTS2021_01099,0.8688665158704876,0.7939559326154312,0.999718996333511
BraTS2021_01100,0.9714222865836298,0.9918026650694974,0.9995456524363191
BraTS2021_01101,0.9802948098328191,0.993694009308788,0.999308426870027
BraTS2021_01102,0.945716975211586,0.9312734495692203,0.9999028673229382
BraTS2021_01103,0.9685158564209264,0.9617601574580712,0.9997457990923229
BraTS2021_01104,0.8859623609001019,0.8241194448618845,0.9995899506184995
BraTS2021_01105,0.9575175330503339,0.9393543669033982,0.9996539683001748
BraTS2021_01106,0.852757926871456,0.7945747459334399,0.9996999773548702
BraTS2021_01107,0.9650376591604565,0.9906011073027959,0.9994654399952995
BraTS2021_01108,0.928997443907321,0.8760042849479432,0.9999917045306256
BraTS2021_01109,0.9684386897700737,0.97084649925146,0.9997686028324717
BraTS2021_01110,0.7946885137734653,0.6847166950917462,0.9998170110819699
BraTS2021_01111,0.9152966023696744,0.8675083788622315,0.9996533657932011
BraTS2021_01112,0.9791994976124453,0.9809021904913928,0.999565728587901
BraTS2021_01113,0.9287755162154312,0.8898013319786531,0.99978977384091
BraTS2021_01114,0.9204368579432836,0.9296737848813141,0.9992204860777674
BraTS2021_01115,0.9479111971161512,0.9843407300306344,0.9991464311927559
BraTS2021_01116,0.7323325448150522,0.5826034690021492,0.9999330558027851
BraTS2021_01117,0.9562638519060294,0.9521496157995325,0.9998610690534003
BraTS2021_01118,0.9569894782047502,0.9626117758864395,0.9997438554006868
BraTS2021_01119,0.8766925623879621,0.7967030393853799,0.999899947036079
BraTS2021_01120,0.9710721226613211,0.972465626877766,0.9996154938074643
BraTS2021_01121,0.9796542765331656,0.9857931580123616,0.9994671892416084
BraTS2021_01122,0.9515845006630426,0.9405293127528602,0.9994243538488574
BraTS2021_01123,0.9728159821508089,0.9656221362385493,0.9998260905332671
BraTS2021_01124,0.9755099708586966,0.9799784171007784,0.9998569410116342
BraTS2021_01125,0.9693708684680888,0.9858746070274301,0.9991102079341379
BraTS2021_01126,0.9855938355016479,0.9931244795533734,0.9997772406210824
BraTS2021_01127,0.9682292331927477,0.9685673884523965,0.9997873564585616
BraTS2021_01128,0.8933487150925107,0.8377289513929803,0.9998863073747519
BraTS2021_01129,0.9744990284389602,0.9759000695446189,0.9997721734942318
BraTS2021_01130,0.9212056405799744,0.8950184406002559,0.999791551783913
BraTS2021_01131,0.9623777777776709,0.9887442922372173,0.9996743657279205
BraTS2021_01132,0.9107797061758832,0.8639427127205391,0.9999469359493339
BraTS2021_01133,0.9616512468458365,0.9568875819948074,0.9998347552114571
BraTS2021_01134,0.9777820691336949,0.9659226683533675,0.9998892211875682
BraTS2021_01135,0.9747722597707547,0.9715319167630023,0.9996610333750169
BraTS2021_01136,0.9809079843722679,0.9883758162086184,0.9994635047262069
BraTS2021_01137,0.9674036592966222,0.9933485605278499,0.9997297528093265
BraTS2021_01138,0.8392119112305896,0.7866512547074248,0.9986567969519787
